,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
107,0.17300000000000001,0.997,4,-3.6919999999999997,1,0.195,1.0300000000000001e-05,0.631,0.324,0.0329,121.01299999999999,96013.0,4,28.098940000000002,6,0
108,0.359,0.9790000000000001,2,-6.997999999999999,1,0.196,0.0105,0.0,0.0763,0.256,172.611,187907.0,4,20.91098,10,0
110,0.45799999999999996,0.445,9,-8.391,0,0.361,0.64,0.0,0.11800000000000001,0.447,82.82,220053.0,5,33.16176,7,1
111,0.71,0.787,7,-7.962000000000001,0,0.0365,0.006490000000000001,0.815,0.0609,0.42200000000000004,128.05,288750.0,4,31.40298,11,0
112,0.636,0.993,5,-5.202999999999999,0,0.0508,0.00878,0.268,0.26,0.478,141.97,223947.0,4,56.28675,11,0
113,0.628,0.541,1,-5.568,1,0.0246,0.292,0.0,0.0933,0.44299999999999995,102.51299999999999,157960.0,4,49.69981,7,0
114,0.679,0.316,6,-11.327,1,0.031,0.625,4.85e-05,0.109,0.273,127.96799999999999,235067.0,4,42.55397,9,1
115,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800.0,4,20.87996,7,1
117,0.106,0.0424,0,-19.749000000000002,0,0.0365,0.887,0.899,0.134,0.0377,63.533,256240.0,4,23.271079999999998,12,0
118,0.588,0.555,1,-9.401,1,0.0334,0.447,0.0,0.0806,0.445,151.991,279573.0,4,25.8805,13,1
119,0.473,0.46399999999999997,10,-8.112,0,0.0287,0.00267,0.000663,0.107,0.25,128.955,272400.0,3,47.53233,12,0
120,0.657,0.853,1,-4.757,0,0.252,0.17,0.0,0.0956,0.746,173.06599999999997,287133.0,4,24.82765,14,1
122,0.6609999999999999,0.847,10,-6.9479999999999995,1,0.0404,0.419,8.82e-05,0.107,0.522,134.002,207120.0,4,22.45476,8,1
123,0.308,0.935,2,-7.309,0,0.124,0.0025399999999999997,0.203,0.303,0.171,89.54700000000001,115853.0,4,71.55419,4,0
124,0.585,0.5770000000000001,5,-5.752000000000001,1,0.0228,0.0587,0.0036899999999999997,0.102,0.335,80.02,282720.0,4,22.544520000000002,11,1
125,0.191,0.996,2,-4.596,1,0.159,5.12e-05,0.132,0.315,0.0752,110.512,318360.0,4,29.58095,12,0
126,0.598,0.41200000000000003,11,-9.838,1,0.14,0.815,0.000352,0.114,0.431,146.039,339847.0,4,28.833190000000002,18,1
127,0.569,0.46299999999999997,1,-12.440999999999999,1,0.0284,0.237,0.733,0.14800000000000002,0.218,109.039,190000.0,4,23.139210000000002,13,0
128,0.8029999999999999,0.821,1,-4.342,0,0.252,0.0449,0.0,0.115,0.763,100.031,229973.0,4,49.96968,7,0
129,0.447,0.8740000000000001,8,-5.82,1,0.0457,6.52e-05,0.00078,0.0573,0.64,87.47399999999999,235000.0,4,33.77383,11,0
130,0.515,0.9079999999999999,8,-4.632,1,0.0368,0.0158,1.88e-05,0.41200000000000003,0.637,150.031,252600.0,4,36.74395,13,1
131,0.7290000000000001,0.746,9,-4.84,0,0.0599,0.0464,0.114,0.105,0.562,94.977,391361.0,4,34.23814,16,0
132,0.611,0.6970000000000001,2,-8.618,1,0.133,0.0193,0.0,0.332,0.47600000000000003,122.75200000000001,320357.0,4,58.19603000000001,14,1
133,0.7709999999999999,0.903,0,-5.688,1,0.0551,0.004379999999999999,0.48100000000000004,0.33299999999999996,0.879,123.014,394880.0,4,32.53368,12,0
134,0.622,0.608,10,-5.085,1,0.036000000000000004,0.138,5.38e-06,0.273,0.607,89.661,243160.0,4,44.45434,8,1
135,0.499,0.883,4,-4.742,1,0.0451,0.0689,0.0,0.163,0.5329999999999999,138.80100000000002,214200.0,4,77.12451999999999,5,1
136,0.645,0.9840000000000001,0,-5.013,1,0.315,0.017,0.946,0.34,0.0466,132.894,249013.0,4,16.59496,11,0
139,0.664,0.7609999999999999,4,-5.809,0,0.07,0.015,0.0,0.618,0.345,129.939,443080.0,4,24.17369,19,0
140,0.718,0.6709999999999999,11,-7.517,0,0.113,0.377,0.0,0.114,0.552,170.012,240133.0,4,38.890640000000005,13,1
141,0.27899999999999997,0.9009999999999999,1,-7.0520000000000005,1,0.0557,0.000529,0.11800000000000001,0.37,0.268,119.95,409827.0,4,47.32667,13,0
142,0.455,0.988,3,-3.075,0,0.122,0.0128,0.983,0.359,0.484,98.85,31560.0,4,9.53802,3,0
143,0.311,0.7090000000000001,4,-7.235,1,0.0331,0.00010400000000000001,0.215,0.156,0.34299999999999997,108.28399999999999,256627.0,4,29.34654,12,0
144,0.5920000000000001,0.418,2,-10.741,1,0.0585,0.679,0.00246,0.16,0.643,90.73200000000001,139627.0,4,30.697390000000002,8,0
145,0.298,0.943,10,-4.019,0,0.18,8.53e-05,0.0038200000000000005,0.52,0.19899999999999998,102.7,34560.0,4,0.0,2,0
146,0.858,0.9470000000000001,0,-3.557,1,0.235,0.125,0.0,0.0367,0.9670000000000001,151.037,203133.0,4,21.8709,8,1
147,0.233,0.609,7,-5.852,1,0.0438,0.000849,0.826,0.0874,0.28,96.80799999999999,209347.0,4,29.07217,11,0
148,0.7120000000000001,0.496,10,-13.591,0,0.0602,0.0338,0.8009999999999999,0.10800000000000001,0.15,137.002,312000.0,4,28.901390000000003,10,0
150,0.65,0.813,0,-4.673,1,0.11199999999999999,0.228,0.0,0.18,0.5760000000000001,136.796,260867.0,4,48.46709,10,1
151,0.377,0.45299999999999996,5,-14.669,0,0.0636,0.45899999999999996,0.00268,0.0921,0.607,126.93,341333.0,3,35.14482,15,0
154,0.7170000000000001,0.597,2,-7.83,1,0.18899999999999997,0.292,0.0,0.128,0.5660000000000001,95.01799999999999,234853.0,4,30.245179999999998,12,1
155,0.34700000000000003,0.882,0,-4.444,1,0.0799,0.00016299999999999998,0.142,0.29600000000000004,0.455,178.321,189533.0,4,25.299139999999998,8,0
156,0.252,0.111,0,-15.312000000000001,0,0.0368,0.981,0.516,0.11599999999999999,0.23,95.929,137520.0,4,57.71955,7,0
157,0.623,0.828,6,-6.265,0,0.212,0.509,7.77e-06,0.0946,0.5920000000000001,97.926,248320.0,4,40.53372,8,1
158,0.713,0.907,6,-4.132,0,0.0336,0.000468,0.00524,0.0846,0.7390000000000001,135.055,216600.0,4,28.53523,9,0
159,0.534,0.708,11,-5.732,1,0.0402,0.08900000000000001,0.0,0.192,0.488,130.639,286480.0,4,45.462720000000004,12,1
160,0.631,0.863,8,-3.963,0,0.0297,0.161,5.85e-05,0.0846,0.49700000000000005,125.994,319653.0,4,77.17961,13,0
161,0.308,0.934,7,-6.939,1,0.0824,2.35e-06,3.69e-06,0.0896,0.419,170.00900000000001,241693.0,4,21.19217,9,0
162,0.525,0.9329999999999999,9,-4.673,1,0.35600000000000004,0.159,0.000241,0.311,0.457,122.631,223720.0,5,25.31908,9,1
163,0.486,0.71,7,-6.287000000000001,1,0.363,0.0445,0.0,0.35,0.47200000000000003,170.86,316267.0,4,20.015320000000003,15,1
164,0.494,0.861,5,-5.236000000000001,1,0.0365,0.257,0.0,0.10300000000000001,0.6679999999999999,172.05200000000002,181613.0,4,56.41995,7,1
165,0.19399999999999998,0.179,9,-16.836,0,0.0413,0.988,0.86,0.0819,0.179,177.667,158667.0,3,30.35531,7,0
166,0.293,0.877,9,-6.468999999999999,1,0.0707,0.0813,0.0437,0.0917,0.584,69.219,312893.0,4,57.28589,14,0
167,0.698,0.618,0,-5.83,1,0.0282,0.0482,0.0,0.11599999999999999,0.37,89.98100000000001,240640.0,4,26.484170000000002,9,1
168,0.648,0.7759999999999999,11,-5.6979999999999995,0,0.252,0.0036200000000000004,0.0,0.179,0.446,91.21799999999999,246960.0,4,35.9768,12,0
169,0.55,0.373,4,-6.31,1,0.0286,0.7170000000000001,0.0,0.096,0.10099999999999999,101.84,265613.0,4,73.7704,11,1
170,0.586,0.927,11,-4.077,0,0.19399999999999998,0.00924,1.85e-06,0.344,0.528,73.023,316133.0,4,27.206979999999998,16,1
171,0.848,0.8540000000000001,6,-3.305,0,0.0845,0.47,2.29e-06,0.106,0.8759999999999999,120.024,298773.0,4,33.02932,15,1
172,0.336,0.449,0,-13.267000000000001,1,0.0367,0.9,7e-05,0.109,0.547,139.13,379867.0,4,46.31308,16,0
